disfluency_type,audio_segment_url,start_time (s),end_time (s),transcription_snippet,recording_id,evidence,notes
filler,data_q2_disfluency/clips/238079_seg23.wav,392.26,406.93,कि आपने अगर उह पहले कही जॉब किया रहेगा मतलब किया है और अगर आपको फिर से वो कंपनी छोड़ते हो एंड आपने बहुत तक मतलब टाइम दिया है उस कंपनी को एंड फिर आप अगर उसको छोड़ते हो तो आपको बहुत एक एक्सपीरियंस गेन हो जाता है कि हां ये काम करते हैं,238079,हां,
repetition,data_q2_disfluency/clips/238079_seg24.wav,406.93,421.6,करना है ये काम करना है एंड फिर अगर आप नया कोई जॉब जॉइन करते हो उसी फिल्ड में तो फिर अब आप आपका बहुत चांसेस रहते हैं कि आपका मतलब जो प्रमोशन वगैरह है वह बहुत जल्दी जल्दी होने लगता है ऐंड यही सब है वो बहुत,238079,जल्दी (x2),
filler,data_q2_disfluency/clips/238079_seg26.wav,431.77,434.41,हूं कि,238079,हूं,
filler,data_q2_disfluency/clips/238123_seg0.wav,1.06,12.04,तो मैंने अ परिवार में उसके बारे में बताया कि मैं ये नौकरी छोड़ रहा हूं क्योंकि उसने मैं काफी समय से वर्क कर रहा था,238123,अ,
filler,data_q2_disfluency/clips/238123_seg0.wav,1.06,12.04,तो मैंने अ परिवार में उसके बारे में बताया कि मैं ये नौकरी छोड़ रहा हूं क्योंकि उसने मैं काफी समय से वर्क कर रहा था,238123,हूं,
filler,data_q2_disfluency/clips/238123_seg0.wav,1.06,12.04,तो मैंने अ परिवार में उसके बारे में बताया कि मैं ये नौकरी छोड़ रहा हूं क्योंकि उसने मैं काफी समय से वर्क कर रहा था,238123,तो,
filler,data_q2_disfluency/clips/238123_seg1.wav,14.86,29.71,तो मैंने परिवार को उसके बारे मे जानकारी दी लेकिन आ परिवार में सहमत नहीं हो रहे थे कह रहे थे कि अभी और करो लेकिन मुझे अ अगले जॉब में जाना था तो मुझे वो नोकरी छोड़नी पड़ी,238123,आ,
filler,data_q2_disfluency/clips/238123_seg1.wav,14.86,29.71,तो मैंने परिवार को उसके बारे मे जानकारी दी लेकिन आ परिवार में सहमत नहीं हो रहे थे कह रहे थे कि अभी और करो लेकिन मुझे अ अगले जॉब में जाना था तो मुझे वो नोकरी छोड़नी पड़ी,238123,अ,
filler,data_q2_disfluency/clips/238123_seg1.wav,14.86,29.71,तो मैंने परिवार को उसके बारे मे जानकारी दी लेकिन आ परिवार में सहमत नहीं हो रहे थे कह रहे थे कि अभी और करो लेकिन मुझे अ अगले जॉब में जाना था तो मुझे वो नोकरी छोड़नी पड़ी,238123,तो,
filler,data_q2_disfluency/clips/238123_seg1.wav,14.86,29.71,तो मैंने परिवार को उसके बारे मे जानकारी दी लेकिन आ परिवार में सहमत नहीं हो रहे थे कह रहे थे कि अभी और करो लेकिन मुझे अ अगले जॉब में जाना था तो मुझे वो नोकरी छोड़नी पड़ी,238123,तो,
repetition,data_q2_disfluency/clips/238123_seg2.wav,29.95,36.16,और साथ साथ में अपने जो हमारे बॉस होते थे उनको भी इसके बारे में जानकारी दी,238123,साथ (x2),
repetition,data_q2_disfluency/clips/238123_seg3.wav,39.07,44.26,जी जी तो आप अगले कैरियर के कदम में क्या योजना बना रही है,238123,जी (x2),
filler,data_q2_disfluency/clips/238123_seg5.wav,60.58,74.38,"जी, अभी तो मैं नई जॉब की तलाश में हू और मुझे मिल भी गई है, है ना, हा बाकि जो मेरी पुरानी नौकरी थी, उससे मैंने अ काफी कुछ सीखा",238123,अ,
filler,data_q2_disfluency/clips/238123_seg6.wav,74.53,88.06,तीन से चार सालो का समय दिया मैने उसमें और काफी कुछ शीशा उस में कुछ खट्टी यादें और मीठी यादें भी थी है ना हाँ तो थोड़ा अ थोड़ा सा मुझे जॉब छोड़ने का दुख भी हुआ,238123,हाँ,
filler,data_q2_disfluency/clips/238123_seg6.wav,74.53,88.06,तीन से चार सालो का समय दिया मैने उसमें और काफी कुछ शीशा उस में कुछ खट्टी यादें और मीठी यादें भी थी है ना हाँ तो थोड़ा अ थोड़ा सा मुझे जॉब छोड़ने का दुख भी हुआ,238123,अ,
filler,data_q2_disfluency/clips/238123_seg7.wav,88.9,102.94,लेकिन अ आगे बढ़ना है तो कुछ और नई चीज़ें सीखने के लिए वो जॉब छोड़नी पड़ी और हालांकि जो नई जॉब मिली है वो भी अच्छी जॉब है,238123,अ,
filler,data_q2_disfluency/clips/238123_seg8.wav,104.59,119.26,उसी ही फिल्ड में हमको मिली है हे न तो मैंने हा मैंने अपने दोस्तों के साथ परिवार के साथ ये सारे विचार रखे तो बड़े खुश हुए कि नहीं नही सही है कि आप अ दूसरे जॉब में और ।,238123,अ,
repetition,data_q2_disfluency/clips/238123_seg9.wav,119.59,133.21,और अच्छी ग्रोथ करेंगे है ना जो आपको नया मौका मिला है जो नई चुनौतियां मिली है है ना उसको और कैसे अच्छे से हैंडल किया जाए ये सारी चीजें मैंने शेयर की,238123,है (x2),
filler,data_q2_disfluency/clips/238123_seg10.wav,134.17,145.84,और अ अब जो आगे आने वाली चुनौतियां हैं उसका भी इंतजार कर रहे हैं कि क्या क्या कैसे डिफिकल्टीज होंगी और भी जैसे नौकरी छोड़ने के बाद,238123,अ,
repetition,data_q2_disfluency/clips/238123_seg10.wav,134.17,145.84,और अ अब जो आगे आने वाली चुनौतियां हैं उसका भी इंतजार कर रहे हैं कि क्या क्या कैसे डिफिकल्टीज होंगी और भी जैसे नौकरी छोड़ने के बाद,238123,क्या (x2),
filler,data_q2_disfluency/clips/238123_seg11.wav,145.93,160.45,तो नौकरी छोड़ने के बाद सबसे बड़ी दिक्कत होती है कि आह पैसे की हे ना जैसे आह परिवार जैस परिवार अगर आपके ऊपर डिपेंड है तो पैसे की वजह से कुछ न कुछ दिक्कत आ जाती हैं,238123,आ,
filler,data_q2_disfluency/clips/238123_seg11.wav,145.93,160.45,तो नौकरी छोड़ने के बाद सबसे बड़ी दिक्कत होती है कि आह पैसे की हे ना जैसे आह परिवार जैस परिवार अगर आपके ऊपर डिपेंड है तो पैसे की वजह से कुछ न कुछ दिक्कत आ जाती हैं,238123,तो,
filler,data_q2_disfluency/clips/238123_seg11.wav,145.93,160.45,तो नौकरी छोड़ने के बाद सबसे बड़ी दिक्कत होती है कि आह पैसे की हे ना जैसे आह परिवार जैस परिवार अगर आपके ऊपर डिपेंड है तो पैसे की वजह से कुछ न कुछ दिक्कत आ जाती हैं,238123,तो,
filler,data_q2_disfluency/clips/238123_seg13.wav,172.84,186.94,"हाँ हाँ, लेकिन इसके बारे में मैंने परिवार से बात की और परिवार का बड़ा सहयोग रहा और दोस्तों का भी बड़ा सहयोग रहा, इस बारे में, हैना कुछ दिक्कते तो जरूर आए, लेकिन हाँ,",238123,हाँ,
filler,data_q2_disfluency/clips/238123_seg13.wav,172.84,186.94,"हाँ हाँ, लेकिन इसके बारे में मैंने परिवार से बात की और परिवार का बड़ा सहयोग रहा और दोस्तों का भी बड़ा सहयोग रहा, इस बारे में, हैना कुछ दिक्कते तो जरूर आए, लेकिन हाँ,",238123,हाँ,
filler,data_q2_disfluency/clips/238123_seg13.wav,172.84,186.94,"हाँ हाँ, लेकिन इसके बारे में मैंने परिवार से बात की और परिवार का बड़ा सहयोग रहा और दोस्तों का भी बड़ा सहयोग रहा, इस बारे में, हैना कुछ दिक्कते तो जरूर आए, लेकिन हाँ,",238123,हाँ,
filler,data_q2_disfluency/clips/238123_seg15.wav,201.7,214.66,जो आने वाले समय में जो नौकरी करने जा रहे हैं तो उसमें जो मौके मिलेंगे उसको मैं पूरी तरह से भुनाना चाहता हूं,238123,हूं,
filler,data_q2_disfluency/clips/238123_seg16.wav,217.0,231.76,और जो अपने जो अ प्रीवियस इयर की जो जॉब थी हमारी तो उससे जो मैंने कुछ सीखा है हो सकता है वहाँ पे मैं अ और भी बेटर कुछ और भी चीज़े सीख पाऊं और जो हमारा जो।,238123,अ,
filler,data_q2_disfluency/clips/238123_seg16.wav,217.0,231.76,और जो अपने जो अ प्रीवियस इयर की जो जॉब थी हमारी तो उससे जो मैंने कुछ सीखा है हो सकता है वहाँ पे मैं अ और भी बेटर कुछ और भी चीज़े सीख पाऊं और जो हमारा जो।,238123,अ,
repetition,data_q2_disfluency/clips/238123_seg19.wav,275.35,281.44,जी जी जी जी हुँ हु,238123,जी (x4),
filler,data_q2_disfluency/clips/238123_seg20.wav,287.41,300.52,हम्मम हम्म जी जी हम्म हम्म जी हां नौकरी आदमी तभी छोड़ता है जब उसको उसमें मजा नहीं आता काम में,238123,हम्मम,
filler,data_q2_disfluency/clips/238123_seg20.wav,287.41,300.52,हम्मम हम्म जी जी हम्म हम्म जी हां नौकरी आदमी तभी छोड़ता है जब उसको उसमें मजा नहीं आता काम में,238123,हम्म,
filler,data_q2_disfluency/clips/238123_seg20.wav,287.41,300.52,हम्मम हम्म जी जी हम्म हम्म जी हां नौकरी आदमी तभी छोड़ता है जब उसको उसमें मजा नहीं आता काम में,238123,हम्म,
filler,data_q2_disfluency/clips/238123_seg20.wav,287.41,300.52,हम्मम हम्म जी जी हम्म हम्म जी हां नौकरी आदमी तभी छोड़ता है जब उसको उसमें मजा नहीं आता काम में,238123,हम्म,
filler,data_q2_disfluency/clips/238123_seg20.wav,287.41,300.52,हम्मम हम्म जी जी हम्म हम्म जी हां नौकरी आदमी तभी छोड़ता है जब उसको उसमें मजा नहीं आता काम में,238123,हां,
repetition,data_q2_disfluency/clips/238123_seg20.wav,287.41,300.52,हम्मम हम्म जी जी हम्म हम्म जी हां नौकरी आदमी तभी छोड़ता है जब उसको उसमें मजा नहीं आता काम में,238123,जी (x2),
repetition,data_q2_disfluency/clips/238123_seg20.wav,287.41,300.52,हम्मम हम्म जी जी हम्म हम्म जी हां नौकरी आदमी तभी छोड़ता है जब उसको उसमें मजा नहीं आता काम में,238123,हम्म (x2),
filler,data_q2_disfluency/clips/238123_seg21.wav,301.93,315.55,"हाँ ,या तो उसको आ ग्रोथ नहीं दिखती है तो आदमी को नौकरी छोड़ना पड़ता है और वही सेम सिचुएशन मेरे भी साथ रही कि मुझे आगे ग्रोथ नहीं दिख रही थी और मुझे उस काम में कम मजा",238123,हाँ,
filler,data_q2_disfluency/clips/238123_seg21.wav,301.93,315.55,"हाँ ,या तो उसको आ ग्रोथ नहीं दिखती है तो आदमी को नौकरी छोड़ना पड़ता है और वही सेम सिचुएशन मेरे भी साथ रही कि मुझे आगे ग्रोथ नहीं दिख रही थी और मुझे उस काम में कम मजा",238123,आ,
filler,data_q2_disfluency/clips/238123_seg22.wav,315.55,318.58,आ कम मन लग रहा था तो मुझे वो नौकरी छोड़नी पड़ी,238123,आ,
filler,data_q2_disfluency/clips/238123_seg23.wav,320.59,332.17,है ना अ थोड़ी बहुत हूं थोड़ी बहुत कुछ दिन में दिक्कते भी हुई जैसे अ नौकरी छोड़ने के बाद मेरे पास एक से दो महीने तक कोई काम नहीं था.,238123,अ,
filler,data_q2_disfluency/clips/238123_seg23.wav,320.59,332.17,है ना अ थोड़ी बहुत हूं थोड़ी बहुत कुछ दिन में दिक्कते भी हुई जैसे अ नौकरी छोड़ने के बाद मेरे पास एक से दो महीने तक कोई काम नहीं था.,238123,हूं,
filler,data_q2_disfluency/clips/238123_seg23.wav,320.59,332.17,है ना अ थोड़ी बहुत हूं थोड़ी बहुत कुछ दिन में दिक्कते भी हुई जैसे अ नौकरी छोड़ने के बाद मेरे पास एक से दो महीने तक कोई काम नहीं था.,238123,अ,
filler,data_q2_disfluency/clips/238123_seg24.wav,332.2,346.96,उसके बाद जितनी भी मेरी सेविंग थी वो सारी लगभग खत्म हो चुकी थी तो दिक्कतें काफी ज्यादा आ रही थी लेकिन मैंने अ सही जॉब सही जॉब के लिए मैंने योजना बनाई।,238123,आ,
filler,data_q2_disfluency/clips/238123_seg24.wav,332.2,346.96,उसके बाद जितनी भी मेरी सेविंग थी वो सारी लगभग खत्म हो चुकी थी तो दिक्कतें काफी ज्यादा आ रही थी लेकिन मैंने अ सही जॉब सही जॉब के लिए मैंने योजना बनाई।,238123,अ,
filler,data_q2_disfluency/clips/238123_seg27.wav,370.57,385.33,ह ना जी जी जी और बाकी जो चुनौतियां आएंगी आ गई नई जॉब में उसको स्वीकार करेंगे क्या क्या चुनौतियां आएंगी कैसे करना हैं और जो अपना पुराना एक्सपीरियंस हैं उस नई जॉब में अ यूज करेंगे।,238123,आ,
filler,data_q2_disfluency/clips/238123_seg27.wav,370.57,385.33,ह ना जी जी जी और बाकी जो चुनौतियां आएंगी आ गई नई जॉब में उसको स्वीकार करेंगे क्या क्या चुनौतियां आएंगी कैसे करना हैं और जो अपना पुराना एक्सपीरियंस हैं उस नई जॉब में अ यूज करेंगे।,238123,अ,
repetition,data_q2_disfluency/clips/238123_seg27.wav,370.57,385.33,ह ना जी जी जी और बाकी जो चुनौतियां आएंगी आ गई नई जॉब में उसको स्वीकार करेंगे क्या क्या चुनौतियां आएंगी कैसे करना हैं और जो अपना पुराना एक्सपीरियंस हैं उस नई जॉब में अ यूज करेंगे।,238123,जी (x3),
repetition,data_q2_disfluency/clips/238123_seg27.wav,370.57,385.33,ह ना जी जी जी और बाकी जो चुनौतियां आएंगी आ गई नई जॉब में उसको स्वीकार करेंगे क्या क्या चुनौतियां आएंगी कैसे करना हैं और जो अपना पुराना एक्सपीरियंस हैं उस नई जॉब में अ यूज करेंगे।,238123,क्या (x2),
repetition,data_q2_disfluency/clips/238123_seg29.wav,392.56,396.88,जी जी,238123,जी (x2),
hesitation,data_q2_disfluency/clips/238123_seg29.wav,392.56,396.88,जी जी,238123,जी जी,
filler,data_q2_disfluency/clips/238123_seg30.wav,401.86,402.55,हां हां,238123,हां,
filler,data_q2_disfluency/clips/238123_seg30.wav,401.86,402.55,हां हां,238123,हां,
repetition,data_q2_disfluency/clips/238123_seg30.wav,401.86,402.55,हां हां,238123,हां (x2),
hesitation,data_q2_disfluency/clips/238123_seg30.wav,401.86,402.55,हां हां,238123,हां हां,
repetition,data_q2_disfluency/clips/238123_seg31.wav,407.2,407.98,जी जी,238123,जी (x2),
hesitation,data_q2_disfluency/clips/238123_seg31.wav,407.2,407.98,जी जी,238123,जी जी,
filler,data_q2_disfluency/clips/238123_seg32.wav,412.54,413.74,हम्म हम्म,238123,हम्म,
filler,data_q2_disfluency/clips/238123_seg32.wav,412.54,413.74,हम्म हम्म,238123,हम्म,
repetition,data_q2_disfluency/clips/238123_seg32.wav,412.54,413.74,हम्म हम्म,238123,हम्म (x2),
repetition,data_q2_disfluency/clips/238123_seg33.wav,417.97,419.41,जी जी जी जी,238123,जी (x4),
filler,data_q2_disfluency/clips/238123_seg34.wav,422.65,436.84,हा हा हा वो एक एक्सपीरियंस होता है ना वो अगले कंपनी में ही काम आता है जी जी चलिए ठीक है आपसे बात करके अच्छा लगा,238123,हा,
filler,data_q2_disfluency/clips/238123_seg34.wav,422.65,436.84,हा हा हा वो एक एक्सपीरियंस होता है ना वो अगले कंपनी में ही काम आता है जी जी चलिए ठीक है आपसे बात करके अच्छा लगा,238123,हा,
filler,data_q2_disfluency/clips/238123_seg34.wav,422.65,436.84,हा हा हा वो एक एक्सपीरियंस होता है ना वो अगले कंपनी में ही काम आता है जी जी चलिए ठीक है आपसे बात करके अच्छा लगा,238123,हा,
repetition,data_q2_disfluency/clips/238123_seg34.wav,422.65,436.84,हा हा हा वो एक एक्सपीरियंस होता है ना वो अगले कंपनी में ही काम आता है जी जी चलिए ठीक है आपसे बात करके अच्छा लगा,238123,हा (x3),
repetition,data_q2_disfluency/clips/238123_seg34.wav,422.65,436.84,हा हा हा वो एक एक्सपीरियंस होता है ना वो अगले कंपनी में ही काम आता है जी जी चलिए ठीक है आपसे बात करके अच्छा लगा,238123,जी (x2),
repetition,data_q2_disfluency/clips/239492_seg0.wav,15.43,18.13,हम हम,239492,हम (x2),
filler,data_q2_disfluency/clips/239492_seg1.wav,26.83,30.43,थोड़ा आपका आवाज किलियर नहीं आ रहा है,239492,आ,
filler,data_q2_disfluency/clips/239492_seg2.wav,33.82,47.32,हां हां बोलिए पड़ोसियों से मिलकर अपना परिचय देना हां हां आप सुन पा रहे है हां अब परफैक्ट है,239492,हां,
filler,data_q2_disfluency/clips/239492_seg2.wav,33.82,47.32,हां हां बोलिए पड़ोसियों से मिलकर अपना परिचय देना हां हां आप सुन पा रहे है हां अब परफैक्ट है,239492,हां,
filler,data_q2_disfluency/clips/239492_seg2.wav,33.82,47.32,हां हां बोलिए पड़ोसियों से मिलकर अपना परिचय देना हां हां आप सुन पा रहे है हां अब परफैक्ट है,239492,हां,
filler,data_q2_disfluency/clips/239492_seg2.wav,33.82,47.32,हां हां बोलिए पड़ोसियों से मिलकर अपना परिचय देना हां हां आप सुन पा रहे है हां अब परफैक्ट है,239492,हां,
filler,data_q2_disfluency/clips/239492_seg2.wav,33.82,47.32,हां हां बोलिए पड़ोसियों से मिलकर अपना परिचय देना हां हां आप सुन पा रहे है हां अब परफैक्ट है,239492,हां,
repetition,data_q2_disfluency/clips/239492_seg2.wav,33.82,47.32,हां हां बोलिए पड़ोसियों से मिलकर अपना परिचय देना हां हां आप सुन पा रहे है हां अब परफैक्ट है,239492,हां (x2),
repetition,data_q2_disfluency/clips/239492_seg2.wav,33.82,47.32,हां हां बोलिए पड़ोसियों से मिलकर अपना परिचय देना हां हां आप सुन पा रहे है हां अब परफैक्ट है,239492,हां (x2),
filler,data_q2_disfluency/clips/239492_seg6.wav,82.18,96.34,"हां हां पास की दुकानों पार्कों और कैफे को देखना अगल बगल के जो भी दुकान गन है जो अगल में क्या मिल रहा है, नहीं मिल रहा है इसके।",239492,हां,
filler,data_q2_disfluency/clips/239492_seg6.wav,82.18,96.34,"हां हां पास की दुकानों पार्कों और कैफे को देखना अगल बगल के जो भी दुकान गन है जो अगल में क्या मिल रहा है, नहीं मिल रहा है इसके।",239492,हां,
repetition,data_q2_disfluency/clips/239492_seg6.wav,82.18,96.34,"हां हां पास की दुकानों पार्कों और कैफे को देखना अगल बगल के जो भी दुकान गन है जो अगल में क्या मिल रहा है, नहीं मिल रहा है इसके।",239492,हां (x2),
filler,data_q2_disfluency/clips/239492_seg7.wav,96.34,109.06,इसके बारे में भी जानकारी इकठ्ठा कर लेना अगर हम नए मोहल्ले में जा रहे हैं अगर हां कि कहां क्या मिल रहा है आखिकार मेरा गैस खत्म हो जाएगा तो हमें कौन सा,239492,हां,
filler,data_q2_disfluency/clips/239492_seg8.wav,109.27,122.98,अगल बगल का दुकान में गैस मेरा फिल कर पाएगा ऐसे भर पाएगा अ और नए घर को सेट करना तो अपने घर को जितना अच्छा से हम बना के रखेंगे अह उत्त,239492,अ,
filler,data_q2_disfluency/clips/239492_seg9.wav,122.98,137.77,नहीं अच्छा होगा हमारे लिए कि हां हां हां कौन समान कहां रखना बेड तैयार करना कपड़े को एडजेस्ट करना किचन को तैयार करना मसाले को मसाले के डब्बा में रखना,239492,हां,
filler,data_q2_disfluency/clips/239492_seg9.wav,122.98,137.77,नहीं अच्छा होगा हमारे लिए कि हां हां हां कौन समान कहां रखना बेड तैयार करना कपड़े को एडजेस्ट करना किचन को तैयार करना मसाले को मसाले के डब्बा में रखना,239492,हां,
filler,data_q2_disfluency/clips/239492_seg9.wav,122.98,137.77,नहीं अच्छा होगा हमारे लिए कि हां हां हां कौन समान कहां रखना बेड तैयार करना कपड़े को एडजेस्ट करना किचन को तैयार करना मसाले को मसाले के डब्बा में रखना,239492,हां,
repetition,data_q2_disfluency/clips/239492_seg9.wav,122.98,137.77,नहीं अच्छा होगा हमारे लिए कि हां हां हां कौन समान कहां रखना बेड तैयार करना कपड़े को एडजेस्ट करना किचन को तैयार करना मसाले को मसाले के डब्बा में रखना,239492,हां (x3),
filler,data_q2_disfluency/clips/239492_seg11.wav,150.04,157.63,हाँ हाँ हां सही बोलें,239492,हाँ,
filler,data_q2_disfluency/clips/239492_seg11.wav,150.04,157.63,हाँ हाँ हां सही बोलें,239492,हाँ,
filler,data_q2_disfluency/clips/239492_seg11.wav,150.04,157.63,हाँ हाँ हां सही बोलें,239492,हां,
repetition,data_q2_disfluency/clips/239492_seg11.wav,150.04,157.63,हाँ हाँ हां सही बोलें,239492,हाँ (x2),
filler,data_q2_disfluency/clips/239492_seg12.wav,164.32,167.32,हा और,239492,हा,
filler,data_q2_disfluency/clips/239492_seg13.wav,172.36,175.3,तो ही बोला और अगर,239492,तो,
filler,data_q2_disfluency/clips/239492_seg14.wav,178.09,191.92,"हां हां अगर अगर हमारा अं नए घर बन रहे हैं, मकान बन रहे हैं, तो गृह प्रवेश कराना एक रीति रिवाज है, जो अं सभी के यहां होता है, तो वो भी हम करा सकते हैं",239492,हां,
filler,data_q2_disfluency/clips/239492_seg14.wav,178.09,191.92,"हां हां अगर अगर हमारा अं नए घर बन रहे हैं, मकान बन रहे हैं, तो गृह प्रवेश कराना एक रीति रिवाज है, जो अं सभी के यहां होता है, तो वो भी हम करा सकते हैं",239492,हां,
filler,data_q2_disfluency/clips/239492_seg14.wav,178.09,191.92,"हां हां अगर अगर हमारा अं नए घर बन रहे हैं, मकान बन रहे हैं, तो गृह प्रवेश कराना एक रीति रिवाज है, जो अं सभी के यहां होता है, तो वो भी हम करा सकते हैं",239492,अं,
filler,data_q2_disfluency/clips/239492_seg14.wav,178.09,191.92,"हां हां अगर अगर हमारा अं नए घर बन रहे हैं, मकान बन रहे हैं, तो गृह प्रवेश कराना एक रीति रिवाज है, जो अं सभी के यहां होता है, तो वो भी हम करा सकते हैं",239492,अं,
repetition,data_q2_disfluency/clips/239492_seg14.wav,178.09,191.92,"हां हां अगर अगर हमारा अं नए घर बन रहे हैं, मकान बन रहे हैं, तो गृह प्रवेश कराना एक रीति रिवाज है, जो अं सभी के यहां होता है, तो वो भी हम करा सकते हैं",239492,हां (x2),
repetition,data_q2_disfluency/clips/239492_seg14.wav,178.09,191.92,"हां हां अगर अगर हमारा अं नए घर बन रहे हैं, मकान बन रहे हैं, तो गृह प्रवेश कराना एक रीति रिवाज है, जो अं सभी के यहां होता है, तो वो भी हम करा सकते हैं",239492,अगर (x2),
filler,data_q2_disfluency/clips/239492_seg15.wav,192.04,206.95,उसमें ब तमाम मेहमान ज अं को निमंत्रण करना एं या बुलाना उस पार्टी में गृह प्रवेस में खिलाना कि देखिये हम नया मकान या या नए मोहल्ले में सिफ्ट हुए हैं ।,239492,अं,
repetition,data_q2_disfluency/clips/239492_seg15.wav,192.04,206.95,उसमें ब तमाम मेहमान ज अं को निमंत्रण करना एं या बुलाना उस पार्टी में गृह प्रवेस में खिलाना कि देखिये हम नया मकान या या नए मोहल्ले में सिफ्ट हुए हैं ।,239492,या (x2),
filler,data_q2_disfluency/clips/239492_seg18.wav,253.45,261.13,हां हां आपका आवाज थोड़ा कट कट के आता है हाँ पुराने पड़ोस की,239492,हां,
filler,data_q2_disfluency/clips/239492_seg18.wav,253.45,261.13,हां हां आपका आवाज थोड़ा कट कट के आता है हाँ पुराने पड़ोस की,239492,हां,
